i,Volts,Ptorr
0,2.00,7.500e-07
1,2.01,1.300e-05
2,2.02,2.525e-05
3,2.03,3.750e-05
4,2.04,4.975e-05
5,2.05,6.200e-05
6,2.06,8.360e-05
7,2.07,1.052e-04
8,2.08,1.268e-04
9,2.09,1.484e-04
10,2.10,1.700e-04
11,2.11,1.905e-04
12,2.12,2.110e-04
13,2.13,2.315e-04
14,2.14,2.520e-04
15,2.15,2.725e-04
16,2.16,2.930e-04
17,2.17,3.135e-04
18,2.18,3.340e-04
19,2.19,3.545e-04
20,2.20,3.750e-04
21,2.21,3.967e-04
22,2.22,4.185e-04
23,2.23,4.402e-04
24,2.24,4.620e-04
25,2.25,4.837e-04
26,2.26,5.055e-04
27,2.27,5.272e-04
28,2.28,5.490e-04
29,2.29,5.707e-04
30,2.30,5.925e-04
31,2.31,6.142e-04
32,2.32,6.360e-04
33,2.33,6.578e-04
34,2.34,6.795e-04
35,2.35,7.013e-04
36,2.36,7.230e-04
37,2.37,7.448e-04
38,2.38,7.665e-04
39,2.39,7.883e-04
40,2.40,8.100e-04
41,2.41,8.325e-04
42,2.42,8.550e-04
43,2.43,8.775e-04
44,2.44,9.000e-04
45,2.45,9.225e-04
46,2.46,9.450e-04
47,2.47,9.675e-04
48,2.48,9.900e-04
49,2.49,1.013e-03
50,2.50,1.035e-03
51,2.51,1.057e-03
52,2.52,1.080e-03
53,2.53,1.103e-03
54,2.54,1.125e-03
55,2.55,1.147e-03
56,2.56,1.170e-03
57,2.57,1.192e-03
58,2.58,1.215e-03
59,2.59,1.237e-03
60,2.60,1.260e-03
61,2.61,1.294e-03
62,2.62,1.329e-03
63,2.63,1.363e-03
64,2.64,1.398e-03
65,2.65,1.432e-03
66,2.66,1.467e-03
67,2.67,1.501e-03
68,2.68,1.536e-03
69,2.69,1.570e-03
70,2.70,1.605e-03
71,2.71,1.639e-03
72,2.72,1.674e-03
73,2.73,1.709e-03
74,2.74,1.743e-03
75,2.75,1.778e-03
76,2.76,1.812e-03
77,2.77,1.847e-03
78,2.78,1.881e-03
79,2.79,1.916e-03
80,2.80,1.950e-03
81,2.81,1.997e-03
82,2.82,2.043e-03
83,2.83,2.090e-03
84,2.84,2.136e-03
85,2.85,2.183e-03
86,2.86,2.229e-03
87,2.87,2.276e-03
88,2.88,2.322e-03
89,2.89,2.369e-03
90,2.90,2.415e-03
91,2.91,2.462e-03
92,2.92,2.508e-03
93,2.93,2.555e-03
94,2.94,2.601e-03
95,2.95,2.648e-03
96,2.96,2.694e-03
97,2.97,2.740e-03
98,2.98,2.787e-03
99,2.99,2.834e-03
100,3.00,2.880e-03
101,3.01,2.929e-03
102,3.02,2.978e-03
103,3.03,3.027e-03
104,3.04,3.076e-03
105,3.05,3.125e-03
106,3.06,3.174e-03
107,3.07,3.223e-03
108,3.08,3.272e-03
109,3.09,3.321e-03
110,3.10,3.370e-03
111,3.11,3.419e-03
112,3.12,3.468e-03
113,3.13,3.517e-03
114,3.14,3.566e-03
115,3.15,3.615e-03
116,3.16,3.664e-03
117,3.17,3.713e-03
118,3.18,3.762e-03
119,3.19,3.811e-03
120,3.20,3.860e-03
121,3.21,3.924e-03
122,3.22,3.989e-03
123,3.23,4.053e-03
124,3.24,4.118e-03
125,3.25,4.182e-03
